dataset,image_name,output_filename,house_id,confidence,model,method,height_m,floors,distance_m,is_top_clipped
val_anu,g103.jpeg,val_g103.jpeg,1,1.00,M1,fallback,16.39,5,7.96,False
val_anu,g104.jpeg,val_g104.jpeg,1,1.00,M1,fallback,14.96,5,6.90,False
val_anu,g105.jpeg,val_g105.jpeg,1,1.00,M1,ref:bicycle,3.88,1,1.42,False
val_anu,g106.jpeg,val_g106.jpeg,1,1.00,M1,fallback,15.08,5,7.90,False
val_anu,g106.jpeg,val_g106.jpeg,2,0.84,M2,fallback,12.93,4,8.28,False
val_anu,g107.jpeg,val_g107.jpeg,1,1.00,M1,fallback,6.95,2,6.70,False
val_anu,g108.jpeg,val_g108.jpeg,1,0.98,M1,fallback,22.84,8,7.21,True
val_anu,g109.jpeg,val_g109.jpeg,1,1.00,M1,fallback,8.38,3,7.21,False
val_anu,g110.jpeg,val_g110.jpeg,1,0.75,M2,fallback,16.87,6,6.78,False
val_anu,g111.jpeg,val_g111.jpeg,1,1.00,M1,fallback,12.13,4,8.28,False
val_anu,g112.jpeg,val_g112.jpeg,1,1.00,M1,fallback,16.60,6,8.21,False
val_anu,g113.jpeg,val_g113.jpeg,1,0.52,M2,fallback,13.08,4,6.47,False
val_anu,g113.jpeg,val_g113.jpeg,2,1.00,M1,fallback,15.98,5,7.61,False
val_anu,g114.jpeg,val_g114.jpeg,1,1.00,M1,fallback,6.42,2,7.72,False
val_anu,g115.jpeg,val_g115.jpeg,1,1.00,M1,ref:car(sedan),31.16,10,5.25,False
val_anu,g116.jpeg,val_g116.jpeg,1,1.00,M1,fallback,11.66,4,6.47,True
val_anu,g118.jpeg,val_g118.jpeg,1,1.00,M1,fallback,14.51,5,7.31,False
val_anu,g120.jpeg,val_g120.jpeg,1,1.00,M1,fallback,12.78,4,8.31,False
val_anu,g121.jpeg,val_g121.jpeg,1,1.00,M1,fallback,10.19,3,9.11,False
val_anu,g122.jpeg,val_g122.jpeg,1,1.00,M1,fallback,10.59,4,6.53,False
val_anu,g123.jpeg,val_g123.jpeg,1,1.00,M1,fallback,6.14,2,6.05,False
val_anu,g124.jpeg,val_g124.jpeg,1,1.00,M1,fallback,10.01,3,6.39,False
val_anu,g125.jpeg,val_g125.jpeg,1,1.00,M1,fallback,12.93,4,9.36,False
val_anu,g126.jpeg,val_g126.jpeg,1,1.00,M1,fallback,17.43,6,7.61,False
val_anu,g127.jpeg,val_g127.jpeg,1,1.00,M1,fallback,9.35,3,6.27,False
val_anu,g128.jpeg,val_g128.jpeg,1,1.00,M1,ref:motorcycle,5.13,2,2.61,False
val_anu,g129.jpeg,val_g129.jpeg,1,1.00,M1,ref:motorcycle,3.57,1,1.91,False
val_anu,g130.jpeg,val_g130.jpeg,1,1.00,M1,fallback,16.20,5,7.39,False
val_anu,g131.jpeg,val_g131.jpeg,1,1.00,M1,fallback,4.75,2,6.65,False
val_anu,g132.jpeg,val_g132.jpeg,1,1.00,M1,fallback,7.87,3,6.43,False
val_anu,g133.jpeg,val_g133.jpeg,1,1.00,M1,fallback,12.07,4,5.72,False
val_anu,g134.jpeg,val_g134.jpeg,1,1.00,M1,ref:motorcycle,4.18,1,2.01,False
val_anu,g135.jpeg,val_g135.jpeg,1,1.00,M1,ref:person,12.53,4,16.74,False
val_anu,g136.jpeg,val_g136.jpeg,1,1.00,M1,fallback,8.80,3,8.58,False
val_anu,g137.jpeg,val_g137.jpeg,1,1.00,M1,fallback,6.67,2,7.06,False
val_anu,g138.jpeg,val_g138.jpeg,1,1.00,M1,fallback,7.08,2,7.42,False
val_anu,g139.jpeg,val_g139.jpeg,1,1.00,M1,fallback,6.99,2,6.70,False
val_anu,g140.jpeg,val_g140.jpeg,1,1.00,M1,ref:car(SUV),13.88,5,9.42,False
val_anu,g141.jpeg,val_g141.jpeg,1,1.00,M1,fallback,17.33,6,8.21,False
val_anu,g143.jpeg,val_g143.jpeg,1,0.96,M1,ref:car(SUV),11.22,4,29.91,False
val_anu,g144.jpeg,val_g144.jpeg,1,0.42,M2,fallback,13.17,4,7.31,False
val_anu,g144.jpeg,val_g144.jpeg,2,0.98,M1,fallback,16.01,5,6.76,False
val_anu,g145.jpeg,val_g145.jpeg,1,1.00,M1,fallback,18.02,6,7.06,False
val_anu,g146.jpeg,val_g146.jpeg,1,1.00,M1,fallback,17.50,6,7.58,False
val_anu,g147.jpeg,val_g147.jpeg,1,1.00,M1,fallback,10.03,3,8.24,False
val_anu,g148.jpeg,val_g148.jpeg,1,1.00,M1,fallback,12.68,4,8.08,False
val_anu,g149.jpeg,val_g149.jpeg,1,0.53,M2,ref:car(SUV),3.09,1,1.02,False
val_anu,g150.jpeg,val_g150.jpeg,1,1.00,M1,fallback,12.22,4,7.39,False
val_anu,g151.jpeg,val_g151.jpeg,1,1.00,M1,fallback,14.19,5,8.11,False
val_anu,g152.jpeg,val_g152.jpeg,1,1.00,M1,ref:car(SUV),5.36,2,0.75,False
val_anu,g153.jpeg,val_g153.jpeg,1,1.00,M1,fallback,13.32,4,7.29,False
